Registration No,CLO1,CLO2,CLO3
13KTELE0343,8,0,14
15KTELE0428,16.5,17.5,20
17KTELE0529,16.5,26.5,17
17KTELE0535,14.5,20.5,21
18JZELE0580,8,0,0
18KTELE0560,13.5,26,20
18KTELE0562,27.5,22.5,12
18KTELE0563,18,8.5,6
18KTELE0564,27,34,23
18KTELE0565,20,27.5,16
18KTELE0566,19,25.5,19
18KTELE0567,25.5,33.5,19
18KTELE0568,19,28,3
18KTELE0569,8,7.5,5
18KTELE0570,15.5,15.5,8.5
18KTELE0571,20,26.5,14.5
18KTELE0572,25.5,30,1
18KTELE0573,22.5,34,13
18KTELE0574,20.5,31,17
18KTELE0575,18,32.5,14
18KTELE0576,21,28.5,15
18KTELE0577,26.5,34.5,25
18KTELE0578,17,16.5,7
18KTELE0579,22.5,22.5,10
18KTELE0580,23.5,22,21
18KTELE0581,23.5,26,19
18KTELE0583,24,21,16
18KTELE0584,19,25,17
18KTELE0585,17,23,18
18KTELE0586,19.5,27,18
18KTELE0587,24.5,30,21
18KTELE0588,30,39,18
